timestamp,deal_id,title,price,original_price,discount_percentage,category,source_url,affiliate_url,platform
2026-04-10T21:15:24.748971,g=crawl0f-21,Apple AirPods Pro,"24,900.",24900,0,general,Amazon,https://www.amazon.in/Apple-AirPods-Pro-2nd-Generation/dp/B0BDKD8DVD?tag=anany-21,200 OK
2026-03-27T13:17:33.963340,mock_historic_0,Historic Deal 1 - Phone,₹2899,₹43139,49.0,Home,Amazon,https://example.com/deal/0
2026-01-20T13:17:33.963340,mock_historic_1,Historic Deal 2 - Headphones,₹13193,₹30818,69.0,Home,Amazon,https://example.com/deal/1
2026-02-06T13:17:33.963340,mock_historic_2,Historic Deal 3 - Phone,₹3375,₹23923,62.0,Home,Telegram,https://example.com/deal/2
2026-02-04T13:17:33.963340,mock_historic_3,Historic Deal 4 - Watch,₹1652,₹33339,57.0,Fashion,Couponami,https://example.com/deal/3
2026-02-07T13:17:33.963340,mock_historic_4,Historic Deal 5 - Watch,₹14400,₹28153,46.0,Fashion,Flipkart,https://example.com/deal/4
2026-04-05T13:17:33.963340,mock_historic_5,Historic Deal 6 - Laptop,₹10715,₹45299,24.0,Fashion,Couponami,https://example.com/deal/5
2026-01-30T13:17:33.963340,mock_historic_6,Historic Deal 7 - Laptop,₹17895,₹30533,57.0,Historic,Couponami,https://example.com/deal/6
2026-01-29T13:17:33.963340,mock_historic_7,Historic Deal 8 - Watch,₹19227,₹22612,25.0,Fashion,Telegram,https://example.com/deal/7
2026-02-22T13:17:33.963340,mock_historic_8,Historic Deal 9 - Laptop,₹7821,₹35099,30.0,Historic,Couponami,https://example.com/deal/8
2026-02-23T13:17:33.963340,mock_historic_9,Historic Deal 10 - Headphones,₹3126,₹20036,57.0,Home,Flipkart,https://example.com/deal/9
2026-04-06T13:17:33.963340,mock_historic_10,Historic Deal 11 - Phone,₹15055,₹29905,37.0,Historic,Couponami,https://example.com/deal/10
2026-02-17T13:17:33.963340,mock_historic_11,Historic Deal 12 - Phone,₹7010,₹42415,70.0,Home,Couponami,https://example.com/deal/11
2026-03-13T13:17:33.963340,mock_historic_12,Historic Deal 13 - Headphones,₹1142,₹23043,69.0,Fashion,Couponami,https://example.com/deal/12
2026-03-31T13:17:33.963340,mock_historic_13,Historic Deal 14 - Watch,₹4246,₹20413,46.0,Home,Couponami,https://example.com/deal/13
2026-03-29T13:17:33.963340,mock_historic_14,Historic Deal 15 - Laptop,₹13464,₹45108,40.0,Electronics,Couponami,https://example.com/deal/14
2026-03-13T13:17:33.963340,mock_historic_15,Historic Deal 16 - Headphones,₹13705,₹41529,40.0,Fashion,Telegram,https://example.com/deal/15
2026-01-21T13:17:33.963340,mock_historic_16,Historic Deal 17 - Laptop,₹13130,₹32146,28.0,Fashion,Telegram,https://example.com/deal/16
2026-03-03T13:17:33.963340,mock_historic_17,Historic Deal 18 - Phone,₹2688,₹49024,44.0,Historic,Telegram,https://example.com/deal/17
2026-01-24T13:17:33.963340,mock_historic_18,Historic Deal 19 - Phone,₹13374,₹31438,40.0,Fashion,Amazon,https://example.com/deal/18
2026-04-04T13:17:33.964336,mock_historic_19,Historic Deal 20 - Laptop,₹14636,₹45272,31.0,Fashion,Couponami,https://example.com/deal/19
2026-02-07T13:17:33.964336,mock_historic_20,Historic Deal 21 - Headphones,₹19277,₹32493,70.0,Historic,Telegram,https://example.com/deal/20
2026-03-27T13:17:33.964336,mock_historic_21,Historic Deal 22 - Watch,₹5142,₹27764,28.0,Fashion,Telegram,https://example.com/deal/21
2026-01-13T13:17:33.964336,mock_historic_22,Historic Deal 23 - Laptop,₹10000,₹47414,68.0,Home,Telegram,https://example.com/deal/22
2026-01-12T13:17:33.964336,mock_historic_23,Historic Deal 24 - Watch,₹12737,₹31649,45.0,Historic,Couponami,https://example.com/deal/23
2026-02-09T13:17:33.964336,mock_historic_24,Historic Deal 25 - Headphones,₹1166,₹47958,58.0,Historic,Flipkart,https://example.com/deal/24
2026-04-05T13:17:33.964336,mock_historic_25,Historic Deal 26 - Laptop,₹14234,₹40937,61.0,Home,Telegram,https://example.com/deal/25
2026-01-27T13:17:33.964336,mock_historic_26,Historic Deal 27 - Watch,₹14575,₹40035,34.0,Fashion,Couponami,https://example.com/deal/26
2026-04-02T13:17:33.964336,mock_historic_27,Historic Deal 28 - Phone,₹16898,₹21710,37.0,Historic,Telegram,https://example.com/deal/27
2026-01-20T13:17:33.964336,mock_historic_28,Historic Deal 29 - Phone,₹2606,₹41223,34.0,Electronics,Telegram,https://example.com/deal/28
