timestamp,deal_identifier,category,platform
2026-01-26T18:20:32.596673,http://localhost:8080/r?url=https%3A%2F%2Fwww.amazon.in%2FAlchemist-Paulo-Coelho%2Fdp%2F8172234988&user_id=telegram_broadcast&category=general&platform=telegram,general,telegram
2026-01-26T18:53:45.491142,https://mock-bridge.com/r?url=https%3A%2F%2Fwww.amazon.in%2FAlchemist-Paulo-Coelho%2Fdp%2F8172234988&user_id=telegram_broadcast&category=general&platform=telegram,general,telegram
2026-01-26T20:19:12.121822,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,general,telegram
2026-01-26T20:20:41.611424,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,general,telegram
2026-01-26T20:44:39.365610,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988,general,telegram
2026-04-10T20:50:39.114845,https://www.couponami.com//ai-for-all-r,general,telegram
2026-04-10T20:50:40.841912,https://www.couponami.com//7-days-of-hands-on-ai-development-bootcamp,general,telegram
2026-04-10T20:50:42.570097,https://www.couponami.com/programming-other/rust-programming-bootcamp,general,telegram
2026-04-10T21:15:07.224581,https://www.amazon.in/dp/EXAMPLE2?tag=crawl0f-21,general,telegram
2026-04-10T21:15:17.552523,https://www.amazon.in/dp/EXAMPLE?tag=crawl0f-21,general,telegram
2026-04-10T21:15:24.748971,https://www.amazon.in/Apple-AirPods-Pro-2nd-Generation/dp/B0BDKD8DVD?tag=crawl0f-21,general,telegram
